"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Faroe Islands","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M10",-0.503,,"Frequency: Monthly",
"Faroe Islands","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M10",-0.158,,"Frequency: Monthly",
"Gabon","CPS - Consumer Price Index, Africans","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M08",0.395,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"United Kingdom of Great Britain and Northern Ireland","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.156,,"Frequency: Monthly",
"United Kingdom of Great Britain and Northern Ireland","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.412,,"Frequency: Monthly",
"Georgia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011M02",2.829,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Ghana","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.962,,"Frequency: Monthly",
"Ghana","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.795,,"Frequency: Monthly",
"Gibraltar","CPS - Index of Retail Prices","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","1997M12",0.005,,"Frequency: Monthly",
"Guinea","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.404,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Guinea","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.439,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Guadeloupe","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.775,,"Frequency: Monthly",
"Guadeloupe","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.365,,"Frequency: Monthly",
