"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2020",510,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2020",900,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2020",759.821,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2020",450,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2013",6221.1,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2013",3538.597,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2013",6221.1,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2013",6329.6,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2013",3600.312,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2013",6329.6,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2013",6091.5,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2013",3464.88,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bermuda","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2013",6091.5,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD)","Data reference period: May | Population coverage: Excluding institutional population"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2024",3229.208,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2024",1392.267,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2024",467.324,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2024",3543.284,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2024",1527.68,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2024",512.776,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2024",2809.538,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2024",1211.327,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2024",406.59,,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2025",3393.154,,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2025",1314.417,,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2025",3710.072,,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2025",1437.182,,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2025",3034.753,,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2025",1175.582,,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2016",2680.239,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2016",1116.854,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2016",1340.12,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2016",2752.469,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2016",1146.952,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2016",1376.234,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2016",2621.563,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2016",1092.404,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","HIES - Survey on Living Conditions","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2016",1310.782,,,"Currency: BRB - Barbadian dollar (BBD)","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2014",1799.403,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2014",2375.624,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2014",1420.162,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2014",1887.158,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2014",2491.482,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2014",1489.423,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2014",1684.674,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2014",2224.156,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2014",1329.613,"Break in series",,"Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2024",28210.114,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2024",1351.181,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2024",337.162,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2024",29158.051,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2024",1396.585,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2024",348.492,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2024",25452.761,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2024",1219.112,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2024",304.207,,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2024",6545.615,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2024",1232.066,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2024",482.603,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2024",7185.885,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2024",1352.582,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2024",529.81,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2024",5985.165,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2024",1126.574,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2024",441.282,,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2025",5761.948,,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2025",4746.954,,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2025",6394.964,,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2025",5268.461,,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2025",5092.826,,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2025",4195.702,,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2024",6374.793,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
