"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Mean weekly hours actually worked per employee by sex","Male","2019",44.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Mean weekly hours actually worked per employee by sex","Female","2019",44.94,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Mean weekly hours actually worked per employee by sex","Total","2020",36.16,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Mean weekly hours actually worked per employee by sex","Male","2020",37.36,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Mean weekly hours actually worked per employee by sex","Female","2020",33.42,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Total","2009",50.71,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Urban areas only"
"Congo","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Male","2009",51.44,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Urban areas only"
"Congo","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Female","2009",50.13,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Urban areas only"
"Cook Islands","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2023",36.21,,,"Repository: ILO-STATISTICS - Micro data processing"
"Cook Islands","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2023",37.77,,,"Repository: ILO-STATISTICS - Micro data processing"
"Cook Islands","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2023",34.75,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","Mean weekly hours actually worked per employee by sex","Total","2025",45.14,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","Mean weekly hours actually worked per employee by sex","Male","2025",46.69,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","Mean weekly hours actually worked per employee by sex","Female","2025",43.15,,,"Repository: ILO-STATISTICS - Micro data processing"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Mean weekly hours actually worked per employee by sex","Total","2021",40.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Mean weekly hours actually worked per employee by sex","Male","2021",41.31,,,"Repository: ILO-STATISTICS - Micro data processing"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Mean weekly hours actually worked per employee by sex","Female","2021",37.26,,,"Repository: ILO-STATISTICS - Micro data processing"
"Cabo Verde","LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics","Mean weekly hours actually worked per employee by sex","Total","2009",47.05,,,"Repository: ILO-STATISTICS - Micro data processing"
"Cabo Verde","LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics","Mean weekly hours actually worked per employee by sex","Male","2009",48.58,,,"Repository: ILO-STATISTICS - Micro data processing"
"Cabo Verde","LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics","Mean weekly hours actually worked per employee by sex","Female","2009",44.4,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","Mean weekly hours actually worked per employee by sex","Total","2025",44.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","Mean weekly hours actually worked per employee by sex","Male","2025",46.99,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","Mean weekly hours actually worked per employee by sex","Female","2025",41.2,,,"Repository: ILO-STATISTICS - Micro data processing"
"Cyprus","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",37.93,,,"Repository: ILO-STATISTICS - Micro data processing"
"Cyprus","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",39.15,,,"Repository: ILO-STATISTICS - Micro data processing"
"Cyprus","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",36.63,,,"Repository: ILO-STATISTICS - Micro data processing"
"Czechia","LFS - Labour Force Sample Survey","Mean weekly hours actually worked per employee by sex","Total","2024",37.44,,,"Repository: ILO-STATISTICS - Micro data processing"
"Czechia","LFS - Labour Force Sample Survey","Mean weekly hours actually worked per employee by sex","Male","2024",38.74,,,"Repository: ILO-STATISTICS - Micro data processing"
"Czechia","LFS - Labour Force Sample Survey","Mean weekly hours actually worked per employee by sex","Female","2024",35.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",32.91,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",36.11,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",29.3,,,"Repository: ILO-STATISTICS - Micro data processing"
"Denmark","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",32.09,,,"Repository: ILO-STATISTICS - Micro data processing"
"Denmark","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",33.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"Denmark","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",30,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2025",41.58,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2025",43.84,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2025",39.33,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","Mean weekly hours actually worked per employee by sex","Total","2025",37.18,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","Mean weekly hours actually worked per employee by sex","Male","2025",37.64,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","Mean weekly hours actually worked per employee by sex","Female","2025",36.29,,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","LFS - Labour Force Sample Survey","Mean weekly hours actually worked per employee by sex","Total","2024",45.92,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","LFS - Labour Force Sample Survey","Mean weekly hours actually worked per employee by sex","Male","2024",46.43,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","LFS - Labour Force Sample Survey","Mean weekly hours actually worked per employee by sex","Female","2024",43.05,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Spain","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2025",35.14,,,"Repository: ILO-STATISTICS - Micro data processing"
"Spain","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2025",37.03,,,"Repository: ILO-STATISTICS - Micro data processing"
"Spain","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2025",33.09,,,"Repository: ILO-STATISTICS - Micro data processing"
"Estonia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",36.05,,,"Repository: ILO-STATISTICS - Micro data processing"
"Estonia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",37.16,,,"Repository: ILO-STATISTICS - Micro data processing"
"Estonia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",35.03,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ethiopia","LFS - National Labor Force Survey","Mean weekly hours actually worked per employee by sex","Total","2021",43.73,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ethiopia","LFS - National Labor Force Survey","Mean weekly hours actually worked per employee by sex","Male","2021",44.27,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ethiopia","LFS - National Labor Force Survey","Mean weekly hours actually worked per employee by sex","Female","2021",42.72,,,"Repository: ILO-STATISTICS - Micro data processing"
"Finland","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",33.68,,,"Repository: ILO-STATISTICS - Micro data processing"
"Finland","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",35.37,,,"Repository: ILO-STATISTICS - Micro data processing"
"Finland","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",31.94,,,"Repository: ILO-STATISTICS - Micro data processing"
"Fiji","LFS - Employment, Unemployment Survey","Mean weekly hours actually worked per employee by sex","Total","2024",42.64,,,"Repository: ILO-STATISTICS - Micro data processing"
"Fiji","LFS - Employment, Unemployment Survey","Mean weekly hours actually worked per employee by sex","Male","2024",43.4,,,"Repository: ILO-STATISTICS - Micro data processing"
"Fiji","LFS - Employment, Unemployment Survey","Mean weekly hours actually worked per employee by sex","Female","2024",41.37,,,"Repository: ILO-STATISTICS - Micro data processing"
"France","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Total","2024",34.64,,,"Repository: ILO-STATISTICS - Micro data processing"
"France","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Male","2024",36.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"France","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Female","2024",32.83,,,"Repository: ILO-STATISTICS - Micro data processing"
"Micronesia (Federated States of)","HIES - Household Income and Expenditure Survey","Mean weekly hours actually worked per employee by sex","Total","2014",38.58,,,"Repository: ILO-STATISTICS - Micro data processing"
"Micronesia (Federated States of)","HIES - Household Income and Expenditure Survey","Mean weekly hours actually worked per employee by sex","Male","2014",38.2,,,"Repository: ILO-STATISTICS - Micro data processing"
"Micronesia (Federated States of)","HIES - Household Income and Expenditure Survey","Mean weekly hours actually worked per employee by sex","Female","2014",39.18,,,"Repository: ILO-STATISTICS - Micro data processing"
