"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 9. Elementary occupations","2017",15.774,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (Skill level): Total","2018",20.39,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): Total","2018",20.39,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 1. Managers","2018",26.54,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 2. Professionals","2018",17.07,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 3. Technicians and associate professionals","2018",17.71,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 4. Clerical support workers","2018",13.9,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 5. Service and sales workers","2018",8.74,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 7. Craft and related trades workers","2018",27.31,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2018",18.1,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Austria","ES - Structure of Earnings Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 9. Elementary occupations","2018",17.97,,,"Time unit: Per hour | Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
