"ref_area.label","source.label","indicator.label","time","obs_value","note_indicator.label","note_source.label"
"Latvia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",740,"Type of minimum wage: Singular national minimum wage | Currency: LVA - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Morocco","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",3120,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: MAR - Moroccan dirham (MAD)",
"Monaco","ADM - Social Insurance Funds","Statutory nominal gross monthly minimum wage (local currency)","2024",11.65,"Time unit: Per hour | Central tendency measure: Minimum | Working time arrangement coverage: Full-time equivalents | Currency: MCO - Euro (EUR)","Data reference period: End of the year"
"Republic of Moldova","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",5500,"Currency: MDA - Moldovan leu (MDL)","Repository: Eurostat | Data reference period: July"
"Madagascar","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",262880,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: MDG - Malagasy ariary (MGA)",
"Maldives","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2022",5700,"Type of minimum wage: Singular national minimum wage | Currency: MDV - Rufiyaa (MVR)",
"Mexico","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",6467.201,"Type of minimum wage: National floor | Currency: MEX - New Peso (MXN) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Marshall Islands","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",624,"Type of minimum wage: Singular national minimum wage | Currency: MHL - United States dollar (USD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"North Macedonia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",36037,"Type of minimum wage: Singular national minimum wage | Currency: MKD - Denar (MKD)","Repository: Eurostat | Data reference period: July"
"Mali","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",40000,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: MLI - West African CFA franc (XOF)",
"Malta","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",961,"Type of minimum wage: Singular national minimum wage | Currency: MLT - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Myanmar","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",124800,"Type of minimum wage: Singular national minimum wage | Currency: MMR - Kyat (MMK) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Montenegro","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",670,"Type of minimum wage: Singular national minimum wage | Currency: MNE - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Mongolia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",660000,"Type of minimum wage: Singular national minimum wage | Currency: MNG - Tögrög (MNT)",
"Mozambique","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",9497.5,"Type of minimum wage: Sectoral (manufacturing) | Currency: MOZ - Metical (MZN)",
"Mauritania","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2022",3000,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: MRT - Ouguiya (MRU)",
"Mauritius","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",15000,"Type of minimum wage: Occupational (unskilled workers) | Currency: MUS - Mauritian rupee (MUR)",
"Malawi","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",90000,"Type of minimum wage: Singular national minimum wage | Currency: MWI - Malawian kwacha (MWK)",
"Malaysia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1500,"Currency: MYS - Ringgit (MYR)",
"New Caledonia","ADM - Other Administrative records and related sources","Statutory nominal gross monthly minimum wage (local currency)","2024",166536,"Central tendency measure: Minimum | Job coverage: Main job currently held | Working time arrangement coverage: Full-time equivalents | Currency: NCL - CFP franc (XPF)",
"Niger","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",42000,"Type of minimum wage: Singular national minimum wage | Currency: NER - West African CFA franc (XOF)",
"Nigeria","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",65000,"Type of minimum wage: Singular national minimum wage | Currency: NGA - Naira (NGN)",
"Nicaragua","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",7692.75,"Type of minimum wage: Sectoral (manufacturing) | Currency: NIC - Cordoba (NIO)",
"Netherlands","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",2246,"Type of minimum wage: Singular national minimum wage | Currency: NLD - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Nepal","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",17300,"Type of minimum wage: National floor | Currency: NPL - Nepalese rupee (NPR)",
"New Zealand","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",4009.58,"Type of minimum wage: For adults | Currency: NZL - New Zealand dollar (NZD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Oman","OE - Official Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",325,"Type of minimum wage: Singular national minimum wage | Currency: OMN - Omani rial (OMR)",
"Pakistan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",37000,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Panama","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",482.18,"Type of minimum wage: Sectoral (manufacturing) | Currency: PAN - Balboa (PAB) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Peru","ADM - Labour Relations Records","Statutory nominal gross monthly minimum wage (local currency)","2024",1025,"Type of minimum wage: Singular national minimum wage | Currency: PER - Nuevo sol (PEN)",
"Philippines","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",8302,"Type of minimum wage: Regional (lowest provincial rate in non-agriculture) | Currency: PHL - Philippine peso (PHP) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Palau","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",883,"Type of minimum wage: Singular national minimum wage | Currency: PLW - United States dollar (USD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Papua New Guinea","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",728,"Type of minimum wage: Singular national minimum wage | Currency: PNG - Kina (PGK) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Poland","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",4666,"Type of minimum wage: Singular national minimum wage | Currency: POL - Zloty (PLN)","Repository: Eurostat | Data reference period: July"
"Portugal","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",1015,"Type of minimum wage: Singular national minimum wage | Currency: PRT - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Paraguay","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",2798309,"Type of minimum wage: National floor for adults | Currency: PRY - Guarani (PYG)",
