"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Guatemala","LFS - Employment and Income Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.458,"Break in series","Currency: GTM - Quetzal (GTQ) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.429,"Break in series","Currency: GTM - Quetzal (GTQ) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.5,"Break in series","Currency: GTM - Quetzal (GTQ) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Guyana","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2019",0.322,,"Currency: GUY - Guyanese dollar (GYD)","Repository: ILO-STATISTICS - Micro data processing"
"Guyana","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2019",0.323,,"Currency: GUY - Guyanese dollar (GYD)","Repository: ILO-STATISTICS - Micro data processing"
"Guyana","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2019",0.32,,"Currency: GUY - Guyanese dollar (GYD)","Repository: ILO-STATISTICS - Micro data processing"
"Honduras","HS - Continous Multi-Purpose Household Survey","Gini index of hourly earnings of employees by sex","Total","2025",0.437,,"Currency: HND - Lempira (HNL)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter"
"Honduras","HS - Continous Multi-Purpose Household Survey","Gini index of hourly earnings of employees by sex","Male","2025",0.415,,"Currency: HND - Lempira (HNL)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter"
"Honduras","HS - Continous Multi-Purpose Household Survey","Gini index of hourly earnings of employees by sex","Female","2025",0.463,,"Currency: HND - Lempira (HNL)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter"
"Indonesia","LFS - National Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2023",0.409,,"Currency: IDN - Indonesian rupiah (IDR)","Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2023",0.388,,"Currency: IDN - Indonesian rupiah (IDR)","Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2023",0.448,,"Currency: IDN - Indonesian rupiah (IDR)","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.422,,"Currency: IND - Indian rupee (INR)","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.405,,"Currency: IND - Indian rupee (INR)","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.455,,"Currency: IND - Indian rupee (INR)","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Gini index of hourly earnings of employees by sex","Other","2024",,"Unreliable","Currency: IND - Indian rupee (INR)","Repository: ILO-STATISTICS - Micro data processing"
"Italy","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2020",0.282,,"Currency: ITA - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Italy","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2020",0.263,,"Currency: ITA - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Italy","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2020",0.306,,"Currency: ITA - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
